"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KF3Q7EHD","book","1720","Bodenehr, Gabriel","Turin","","","","","","","1720","2019-02-13 17:27:32","2019-02-13 17:29:18","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Bergstriche</p>; <p>Bergstriche</p>; <p>&quot;cum Gra. Priv. S.C. Maÿesta:&quot;</p>; <p>&quot;cum Gra. Priv. S.C. Maÿesta:&quot;</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Oben rechts: &quot;182&quot;</p>; <p>Oben rechts: &quot;182&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQF9J8VI","book","1720","Bodenehr, Gabriel","Toulon oder Tolon","","","","","","","1720","2019-02-13 17:27:33","2019-02-13 17:29:17","","","1 Karte","","","","","","","","","","G. Bodenehr Excudit","[Augsburg]","","","","","","","","","<p>Erläuterungen links auf dem Kartenrand</p>; <p>Erläuterungen links auf dem Kartenrand</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Oben rechts: &quot;175&quot;</p>; <p>Oben rechts: &quot;175&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7GGQTMV","book","1720","Bodenehr, Gabriel","Temeswar","","","","","","","1720","2019-02-13 17:27:33","2019-02-13 17:29:16","","","1 Karte","","","","","","","","","","zu finden beÿ Gabriel Bodenehr Kupffersterhern","[Augsburg]","","","","","","","","","<p>Erläuterungen links und rechts auf dem Kartenrand</p>; <p>Erläuterungen links und rechts auf dem Kartenrand</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Oben rechts: &quot;171&quot;</p>; <p>Oben rechts: &quot;171&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GC5EKYLY","book","1720","Bodenehr, Gabriel","Toulon mit der Attaque in Ao. 1707","","","","","","","1720","2019-02-13 17:27:33","2019-02-13 17:29:16","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","Augspurg","","","","","","","","","<p>Bergzeichnung</p>; <p>Bergzeichnung</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Maßstab in grafischer Form (Frantzösisch Maÿl). - Ohne Kartennetz und Randgraduierung</p>; <p>Maßstab in grafischer Form (Frantzösisch Maÿl). - Ohne Kartennetz und Randgraduierung</p>; <p>Oben rechts: &quot;176&quot;</p>; <p>Oben rechts: &quot;176&quot;</p>; <p>Titelkartusche oben links. - Maßstabskartusche unten links. - Verlegerkartusche unten rechts. - Wappen oben rechts</p>; <p>Titelkartusche oben links. - Maßstabskartusche unten links. - Verlegerkartusche unten rechts. - Wappen oben rechts</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FM66RFV","book","1720","Bodenehr, Gabriel","Peterwardein","","","","","","","1720","2019-02-13 17:27:34","2019-02-13 17:29:14","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Erläuterungen links auf dem Kartenrand</p>; <p>Erläuterungen links auf dem Kartenrand</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Oben rechts: &quot;143.&quot;</p>; <p>Oben rechts: &quot;143.&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Windrose. - Bergstriche</p>; <p>Windrose. - Bergstriche</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEMVEBSI","book","1720","Bodenehr, Gabriel","Palermo","","","","","","","1720","2019-02-13 17:27:34","2019-02-13 17:29:13","","","1 Vogelschaubild","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>&quot;Cum Gr. et Priv. Sac. Cæs. Maj.&quot;</p>; <p>&quot;Cum Gr. et Priv. Sac. Cæs. Maj.&quot;</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Oben rechts: &quot;137&quot;</p>; <p>Oben rechts: &quot;137&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Titelkartusche oben Mitte. - Legendenkartusche unten rechts</p>; <p>Titelkartusche oben Mitte. - Legendenkartusche unten rechts</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PFHGJHJ6","book","1720","Bodenehr, Gabriel","Neuheusel","","","","","","","1720","2019-02-13 17:27:34","2019-02-13 17:29:13","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Enthält 1 Profil</p>; <p>Enthält 1 Profil</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Maßstab in grafischer Form (Verjüngte Werckschuh, Verjüngte Wiener Klafter). - Ohne Kartennetz und Randgraduierung</p>; <p>Maßstab in grafischer Form (Verjüngte Werckschuh, Verjüngte Wiener Klafter). - Ohne Kartennetz und Randgraduierung</p>; <p>Oben rechts: &quot;127&quot;</p>; <p>Oben rechts: &quot;127&quot;</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7G9VBJW3","book","1720","Bodenehr, Gabriel","Milano","","","","","","","1720","2019-02-13 17:27:35","2019-02-13 17:29:12","","","1 Vogelschaubild","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Mit Erläuterungen links und rechts auf dem linken Kartenrand</p>; <p>Mit Erläuterungen links und rechts auf dem linken Kartenrand</p>; <p>Oben rechts: &quot;111&quot;</p>; <p>Oben rechts: &quot;111&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Titelkartuschen oben links und rechts</p>; <p>Titelkartuschen oben links und rechts</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VPSCL2UB","book","1720","Bodenehr, Gabriel","Messina mitt der Neüen Cittadell","","","","","","","1720","2019-02-13 17:27:35","2019-02-13 17:29:11","","","1 Vogelschaubild","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Mit Erläuterungen auf dem linken Kartenrand</p>; <p>Mit Erläuterungen auf dem linken Kartenrand</p>; <p>Oben rechts: &quot;109&quot;</p>; <p>Oben rechts: &quot;109&quot;</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Ohne Kartennetz und Randgraduierung</p>; <p>Titelkartusche oben Mitte</p>; <p>Titelkartusche oben Mitte</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34WQIMVC","book","1720","Bodenehr, Gabriel","Melazzo","","","","","","","1720","2019-02-13 17:27:35","2019-02-13 17:29:10","","","1 Karte","","","","","","","","","","[Gabriel Bodenehr]","[Augsburg]","","","","","","","","","<p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Erschienen in: Bodenehr, Gabriel: Force D&apos;Europe, oder Die Merckwürdigst- und Fürnehmste, meistentheils auch Ihrer Fortification wegen Berühmteste, Stætte, Vestungen, Seehæfen ... in Europa ... - Augsburg : Bodenehr, [circa 1720]</p>; <p>Oben rechts: &quot;105&quot;</p>; <p>Oben rechts: &quot;105&quot;</p>; <p>SE oben. - Ohne Kartennetz und Randgraduierung</p>; <p>SE oben. - Ohne Kartennetz und Randgraduierung</p>; <p>Titel oben links</p>; <p>Titel oben links</p>; <p>Windrose</p>; <p>Windrose</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
